epoch,train_loss,train_acc,val_loss,val_acc
1,0.664,0.6667,0.6694,0.7
2,0.6364,0.6667,0.6291,0.8
3,0.5178,0.8333,0.5909,0.9
4,0.4503,0.9333,0.5485,0.9333
5,0.369,1.0,0.5049,0.9667
6,0.3354,1.0,0.4676,0.9667
7,0.3198,0.9667,0.4284,0.9667
8,0.2621,1.0,0.3971,1.0
9,0.2187,1.0,0.363,1.0
10,0.2004,1.0,0.3243,1.0
11,0.1873,1.0,0.2917,1.0
12,0.181,1.0,0.2684,1.0
13,0.1502,1.0,0.2478,1.0
14,0.237,1.0,0.2231,1.0
15,0.1398,1.0,0.2036,1.0
16,0.2306,0.9667,0.1776,1.0
17,0.1952,1.0,0.1646,1.0
18,0.1085,1.0,0.1545,1.0
19,0.0894,1.0,0.1461,1.0
20,0.1065,1.0,0.1417,1.0
21,0.0856,1.0,0.1357,1.0
22,0.1095,1.0,0.1305,1.0
23,0.0879,1.0,0.1316,1.0
24,0.0763,1.0,0.1282,1.0
25,0.1097,1.0,0.1254,1.0
26,0.1253,0.9667,0.1242,1.0
27,0.0779,1.0,0.1215,1.0
28,0.0778,1.0,0.1234,1.0
29,0.1138,1.0,0.1218,1.0
30,0.106,1.0,0.1223,1.0
